epsilon,f1score,precision,recall
0.001,0.6367713004484304,0.6893203883495146,0.5916666666666667
0.003,0.6363636363636364,0.6621621621621622,0.6125
0.005,0.625,0.6473214285714286,0.6041666666666666
0.007,0.6260869565217392,0.6545454545454545,0.6
0.009,0.6410256410256411,0.6578947368421053,0.625
0.01,0.6338329764453962,0.6519823788546255,0.6166666666666667
0.02,0.6433260393873085,0.6774193548387096,0.6125
0.03,0.6666666666666666,0.7435897435897436,0.6041666666666666
0.04,0.6712962962962963,0.7552083333333334,0.6041666666666666
0.05,0.6733668341708543,0.8481012658227848,0.5583333333333333
0.06,0.7070217917675545,0.8439306358381503,0.6083333333333333
0.07,0.7064676616915423,0.8765432098765432,0.5916666666666667
0.08,0.7342995169082126,0.8735632183908046,0.6333333333333333
0.09,0.6935483870967742,0.9772727272727273,0.5375
0.1,0.71875,0.9583333333333334,0.575
0.3,0.5498489425981873,1.0,0.37916666666666665
0.5,0.4262295081967213,1.0,0.2708333333333333
0.7,0.3673469387755102,1.0,0.225
0.9,0.30985915492957744,1.0,0.18333333333333332
1.0,0.2978723404255319,1.0,0.175

Sampling prob = 0.2, pcap = eval100k, global_thresh = 50 (99th perc), report_thresh = 11
