epsilon,f1score,precision,recall
0.001,0.003663003663003663,1.0,0.001834862385321101
0.003,0.032490974729241874,1.0,0.01651376146788991
0.005,0.06394316163410302,1.0,0.03302752293577982
0.006,0.09773123909249563,1.0,0.05137614678899083
0.007,0.11744386873920552,1.0,0.062385321100917435
0.008,0.13993174061433447,1.0,0.07522935779816514
0.009,0.15254237288135594,1.0,0.08256880733944955
0.01,0.15878378378378377,1.0,0.08623853211009175
0.02,0.3803863298662704,1.0,0.23486238532110093
0.03,0.5408299866131191,1.0,0.3706422018348624
0.04,0.6763285024154589,0.9893992932862191,0.5137614678899083
0.05,0.7548022598870057,0.9823529411764705,0.6128440366972477
0.07,0.8705882352941177,0.9347368421052632,0.8146788990825689
0.09,0.8901098901098901,0.8884826325411335,0.8917431192660551
0.1,0.8643042350907519,0.8169934640522876,0.9174311926605505
0.3,0.48102383053839365,0.3166763509587449,1.0
0.5,0.40088267745494666,0.25068997240110397,1.0
0.7,0.21148622429181219,0.11824690822304187,1.0
0.9,0.283337665713543,0.16505148394912175,1.0
1.0,0.30429927414852037,0.17945340796838985,1.0

Sampling prob = 0.2, pcap = eval400k, global_thresh = 91 (99th perc), report_thresh = 1/eps
