epsilon,f1score,precision,recall
0.001,0.007312614259597806,1.0,0.003669724770642202
0.003,0.036036036036036036,1.0,0.01834862385321101
0.005,0.06394316163410302,1.0,0.03302752293577982
0.006,0.09106830122591944,1.0,0.047706422018348627
0.007,0.12392426850258176,1.0,0.06605504587155964
0.008,0.13356164383561644,1.0,0.07155963302752294
0.009,0.15878378378378377,1.0,0.08623853211009175
0.01,0.16806722689075632,1.0,0.09174311926605505
0.02,0.3875739644970414,1.0,0.24036697247706423
0.03,0.5250338294993234,1.0,0.3559633027522936
0.04,0.6843373493975904,0.9964912280701754,0.5211009174311927
0.05,0.7352601156069364,0.99375,0.5834862385321101
0.06,0.8319672131147541,0.9419953596287703,0.744954128440367
0.065,0.8469184890656064,0.9240780911062907,0.781651376146789
0.07,0.866601752677702,0.9232365145228216,0.8165137614678899
0.075,0.8905380333951762,0.900562851782364,0.8807339449541285
0.08,0.872858431018936,0.8581560283687943,0.8880733944954129
0.085,0.8638334778837814,0.819078947368421,0.9137614678899083
0.09,0.886672710788758,0.8763440860215054,0.8972477064220183
0.095,0.8667820069204152,0.8199672667757774,0.9192660550458716
0.1,0.8631578947368421,0.826890756302521,0.9027522935779817
0.15,0.7116644823066841,0.5535168195718655,0.9963302752293578
0.2,0.6720098643649816,0.5060352831940576,1.0
0.25,0.5797872340425532,0.40823970037453183,1.0
0.3,0.4870188003581021,0.32208407341622264,0.998165137614679
0.5,0.40117776959882223,0.2509208103130755,1.0
0.7,0.210221793635487,0.11745689655172414,1.0
0.9,0.28363257871454595,0.16525166767738023,1.0
1.0,0.3056646102075154,0.1804038397881496,1.0

Sampling prob = 0.2, pcap = eval400k, global_thresh = 91 (99th perc), report_thresh = 1/eps
