epsilon,f1score,precision,recall
0.0005,0.642962962962963,0.49885057471264366,0.9041666666666667
0.0007,0.6350148367952523,0.4930875576036866,0.8916666666666667
0.0009,0.6289855072463768,0.4822222222222222,0.9041666666666667
0.001,0.6515837104072398,0.5106382978723404,0.9
0.002,0.641566265060241,0.5023584905660378,0.8875
0.003,0.6427503736920778,0.5011655011655012,0.8958333333333334
0.004,0.6278026905829597,0.48951048951048953,0.875
0.005,0.6377245508982036,0.4976635514018692,0.8875
0.006,0.6405797101449275,0.4911111111111111,0.9208333333333333
0.007,0.6421207658321061,0.49658314350797267,0.9083333333333333
0.008,0.6242774566473989,0.4778761061946903,0.9
0.009,0.6251808972503617,0.4789356984478936,0.9
0.01,0.636094674556213,0.49311926605504586,0.8958333333333334
0.02,0.6120058565153733,0.4717832957110609,0.8708333333333333
0.03,0.65527950310559,0.5222772277227723,0.8791666666666667
0.04,0.6468842729970327,0.5023041474654378,0.9083333333333333
0.05,0.7013422818791947,0.5870786516853933,0.8708333333333333
0.06,0.6993464052287581,0.5752688172043011,0.8916666666666667
0.07,0.7239669421487603,0.6,0.9125
0.08,0.7209302325581395,0.5994475138121547,0.9041666666666667
0.09,0.7900763358778626,0.7288732394366197,0.8625
0.1,0.7610294117647058,0.680921052631579,0.8625
0.2,0.7427184466019418,0.8895348837209303,0.6375
0.3,0.6719160104986877,0.9078014184397163,0.5333333333333333
0.4,0.5498489425981873,1.0,0.37916666666666665
0.5,0.42105263157894735,1.0,0.26666666666666666
0.6,0.4,1.0,0.25
0.7,0.3448275862068966,1.0,0.20833333333333334
0.8,0.2857142857142857,1.0,0.16666666666666666
0.9,0.208955223880597,1.0,0.11666666666666667
1.0,0.2545454545454545,1.0,0.14583333333333334


Sampling prob = 0.1, pcap = eval100k, global_thresh = 50 (99th perc), report_thresh = 5
