epsilon,f1score,precision,recall
0.005,0.2698412698412698,0.21794871794871795,0.3541666666666667
0.01,0.3064516129032258,0.20212765957446807,0.6333333333333333
0.02,0.21945432977461446,0.12793914246196403,0.7708333333333334
0.04,0.5456989247311828,0.4027777777777778,0.8458333333333333
0.06,0.695364238410596,0.5769230769230769,0.875
0.08,0.7403508771929824,0.6393939393939394,0.8791666666666667
0.1,0.11673151750972763,0.8823529411764706,0.0625
0.2,0.8515625,0.8014705882352942,0.9083333333333333
0.3,0.896969696969697,0.8705882352941177,0.925
0.4,0.9202453987730062,0.9036144578313253,0.9375
0.5,0.9094567404426559,0.8793774319066148,0.9416666666666667
0.6,0.9375,0.9375,0.9375
0.7,0.9478079331941545,0.9497907949790795,0.9458333333333333
0.8,0.9541666666666667,0.9541666666666667,0.9541666666666667
0.9,0.9726315789473684,0.9829787234042553,0.9625
1.0,1.0,1.0,1.0
