sampling_probability,f1score,precision,recall
0.001,0.18030050083472454,1.0,0.09908256880733946
0.005,0.4316546762589928,1.0,0.27522935779816515
0.007,0.49171270718232046,0.994413407821229,0.326605504587156
0.01,0.5349462365591398,1.0,0.3651376146788991
0.03,0.6625766871165644,1.0,0.4954128440366973
0.05,0.7030878859857482,0.9966329966329966,0.5431192660550459
0.06,0.7054631828978623,1.0,0.544954128440367
0.07,0.7007125890736342,0.9932659932659933,0.5412844036697247
0.08,0.7152941176470589,0.9967213114754099,0.5577981651376147
0.09,0.7325581395348837,1.0,0.5779816513761468
0.1,0.7331786542923434,0.9968454258675079,0.5798165137614679
0.2,0.7699214365881033,0.9913294797687862,0.6293577981651376
0.25,0.7595505617977528,0.9797101449275363,0.6201834862385321
0.3,0.7728285077951003,0.9830028328611898,0.636697247706422
0.4,0.7767857142857143,0.9914529914529915,0.6385321100917432
0.5,0.7750556792873051,0.9858356940509915,0.6385321100917432
0.6,0.7645739910313901,0.9827089337175793,0.6256880733944954
0.7,0.7777777777777778,0.9859154929577465,0.6422018348623854
0.75,0.762119503945885,0.9883040935672515,0.6201834862385321
0.8,0.7548022598870057,0.9823529411764705,0.6128440366972477
0.9,0.7598647125140925,0.9853801169590644,0.618348623853211
1.0,0.779134295227525,0.9859550561797753,0.6440366972477064
